Wed Sep  9 01:28:59 AM UTC 2026
flash-cloud-bench-redis-1 33.09% 52.4MiB / 7.38GiB 398MB / 319MB
flash-cloud-bench-pgbouncer-1 10.69% 1.594MiB / 7.38GiB 165MB / 165MB
flash-cloud-bench-postgres-1 25.81% 111MiB / 7.38GiB 47.9MB / 120MB
flash-cloud-bench-kafka-1 2.39% 773.9MiB / 7.38GiB 1.54MB / 1.31MB
flash-cloud-bench-prometheus-1 0.00% 29.74MiB / 7.38GiB 1.29MB / 175kB
Wed Sep  9 01:30:48 AM UTC 2026
flash-cloud-bench-publisher-1 2.89% 34.75MiB / 7.38GiB 3.12MB / 4.34MB
flash-cloud-bench-simulator-1 3.93% 34.77MiB / 7.38GiB 6.14MB / 7.76MB
flash-cloud-bench-api-1 73.44% 83.37MiB / 7.38GiB 384MB / 263MB
flash-cloud-bench-consumer-1 10.46% 35.62MiB / 7.38GiB 2.61MB / 3.86MB
flash-cloud-bench-maintenance-1 7.10% 35.73MiB / 7.38GiB 116MB / 406MB
flash-cloud-bench-redis-1 10.92% 52.07MiB / 7.38GiB 420MB / 367MB
flash-cloud-bench-pgbouncer-1 5.59% 1.621MiB / 7.38GiB 176MB / 175MB
flash-cloud-bench-postgres-1 20.20% 112.1MiB / 7.38GiB 52MB / 127MB
flash-cloud-bench-kafka-1 5.06% 786.2MiB / 7.38GiB 1.75MB / 1.49MB
flash-cloud-bench-prometheus-1 0.00% 29.78MiB / 7.38GiB 1.41MB / 186kB
Wed Sep  9 01:31:00 AM UTC 2026
flash-cloud-bench-publisher-1 2.56% 34.76MiB / 7.38GiB 3.39MB / 4.72MB
flash-cloud-bench-simulator-1 3.68% 34.77MiB / 7.38GiB 6.52MB / 8.23MB
flash-cloud-bench-api-1 70.11% 84.36MiB / 7.38GiB 431MB / 295MB
flash-cloud-bench-consumer-1 10.29% 35.65MiB / 7.38GiB 2.93MB / 4.32MB
flash-cloud-bench-maintenance-1 9.58% 35.74MiB / 7.38GiB 127MB / 446MB
flash-cloud-bench-redis-1 11.38% 53.11MiB / 7.38GiB 462MB / 412MB
flash-cloud-bench-pgbouncer-1 6.25% 1.582MiB / 7.38GiB 193MB / 192MB
flash-cloud-bench-postgres-1 42.65% 115.5MiB / 7.38GiB 56.9MB / 139MB
flash-cloud-bench-kafka-1 2.41% 797.4MiB / 7.38GiB 1.96MB / 1.67MB
flash-cloud-bench-prometheus-1 0.02% 29.78MiB / 7.38GiB 1.51MB / 199kB
Wed Sep  9 01:31:12 AM UTC 2026
flash-cloud-bench-publisher-1 4.95% 34.77MiB / 7.38GiB 3.7MB / 5.16MB
flash-cloud-bench-simulator-1 3.05% 34.77MiB / 7.38GiB 6.89MB / 8.7MB
flash-cloud-bench-api-1 73.79% 85.25MiB / 7.38GiB 482MB / 330MB
flash-cloud-bench-consumer-1 6.56% 35.66MiB / 7.38GiB 3.3MB / 4.88MB
flash-cloud-bench-maintenance-1 15.91% 35.74MiB / 7.38GiB 129MB / 450MB
flash-cloud-bench-redis-1 14.09% 52.29MiB / 7.38GiB 469MB / 461MB
flash-cloud-bench-pgbouncer-1 8.26% 1.578MiB / 7.38GiB 199MB / 198MB
flash-cloud-bench-postgres-1 80.30% 119.5MiB / 7.38GiB 60.6MB / 142MB
flash-cloud-bench-kafka-1 6.27% 811MiB / 7.38GiB 2.21MB / 1.89MB
flash-cloud-bench-prometheus-1 0.22% 29.77MiB / 7.38GiB 1.63MB / 210kB
Wed Sep  9 01:31:24 AM UTC 2026
flash-cloud-bench-publisher-1 4.42% 34.8MiB / 7.38GiB 4.13MB / 5.8MB
flash-cloud-bench-simulator-1 3.06% 34.77MiB / 7.38GiB 7.27MB / 9.18MB
flash-cloud-bench-api-1 102.97% 85.73MiB / 7.38GiB 535MB / 365MB
flash-cloud-bench-consumer-1 6.97% 35.69MiB / 7.38GiB 3.92MB / 5.79MB
flash-cloud-bench-maintenance-1 4.04% 35.74MiB / 7.38GiB 135MB / 471MB
flash-cloud-bench-redis-1 9.58% 52.4MiB / 7.38GiB 494MB / 512MB
flash-cloud-bench-pgbouncer-1 5.31% 1.605MiB / 7.38GiB 210MB / 210MB
flash-cloud-bench-postgres-1 106.16% 126.6MiB / 7.38GiB 64.9MB / 149MB
flash-cloud-bench-kafka-1 5.15% 832.3MiB / 7.38GiB 2.62MB / 2.23MB
flash-cloud-bench-prometheus-1 0.43% 29.78MiB / 7.38GiB 1.73MB / 223kB
Wed Sep  9 01:31:36 AM UTC 2026
flash-cloud-bench-publisher-1 3.84% 34.83MiB / 7.38GiB 4.57MB / 6.44MB
flash-cloud-bench-simulator-1 3.35% 34.77MiB / 7.38GiB 7.64MB / 9.65MB
flash-cloud-bench-api-1 81.34% 86.66MiB / 7.38GiB 597MB / 405MB
flash-cloud-bench-consumer-1 6.03% 35.7MiB / 7.38GiB 4.52MB / 6.68MB
flash-cloud-bench-maintenance-1 22.84% 35.74MiB / 7.38GiB 142MB / 496MB
flash-cloud-bench-redis-1 22.31% 53.01MiB / 7.38GiB 522MB / 572MB
flash-cloud-bench-pgbouncer-1 8.74% 1.609MiB / 7.38GiB 223MB / 223MB
flash-cloud-bench-postgres-1 66.04% 129.2MiB / 7.38GiB 69.4MB / 158MB
flash-cloud-bench-kafka-1 11.50% 853.6MiB / 7.38GiB 3.02MB / 2.57MB
flash-cloud-bench-prometheus-1 0.00% 29.79MiB / 7.38GiB 1.81MB / 232kB
Wed Sep  9 01:31:48 AM UTC 2026
flash-cloud-bench-publisher-1 4.27% 34.87MiB / 7.38GiB 4.99MB / 7.07MB
flash-cloud-bench-simulator-1 3.17% 34.77MiB / 7.38GiB 8.01MB / 10.1MB
flash-cloud-bench-api-1 77.63% 86.91MiB / 7.38GiB 670MB / 451MB
flash-cloud-bench-consumer-1 6.03% 35.7MiB / 7.38GiB 5.13MB / 7.59MB
flash-cloud-bench-maintenance-1 5.38% 35.74MiB / 7.38GiB 147MB / 514MB
flash-cloud-bench-redis-1 20.62% 52.79MiB / 7.38GiB 546MB / 642MB
flash-cloud-bench-pgbouncer-1 8.43% 1.598MiB / 7.38GiB 235MB / 234MB
flash-cloud-bench-postgres-1 67.39% 132.5MiB / 7.38GiB 73.6MB / 166MB
flash-cloud-bench-kafka-1 9.54% 874.5MiB / 7.38GiB 3.42MB / 2.91MB
flash-cloud-bench-prometheus-1 0.19% 29.79MiB / 7.38GiB 1.95MB / 246kB
Wed Sep  9 01:32:00 AM UTC 2026
flash-cloud-bench-publisher-1 4.76% 34.9MiB / 7.38GiB 5.43MB / 7.72MB
flash-cloud-bench-simulator-1 3.08% 34.77MiB / 7.38GiB 8.38MB / 10.6MB
flash-cloud-bench-api-1 77.18% 87.25MiB / 7.38GiB 737MB / 494MB
flash-cloud-bench-consumer-1 8.12% 35.71MiB / 7.38GiB 5.76MB / 8.5MB
flash-cloud-bench-maintenance-1 3.59% 35.74MiB / 7.38GiB 154MB / 538MB
flash-cloud-bench-redis-1 9.45% 52.72MiB / 7.38GiB 571MB / 707MB
flash-cloud-bench-pgbouncer-1 5.17% 1.59MiB / 7.38GiB 246MB / 246MB
flash-cloud-bench-postgres-1 104.59% 133.9MiB / 7.38GiB 77.9MB / 173MB
flash-cloud-bench-kafka-1 4.11% 895.1MiB / 7.38GiB 3.83MB / 3.26MB
flash-cloud-bench-prometheus-1 0.00% 29.8MiB / 7.38GiB 2.03MB / 255kB
Wed Sep  9 01:32:12 AM UTC 2026
flash-cloud-bench-publisher-1 3.99% 34.93MiB / 7.38GiB 5.87MB / 8.37MB
flash-cloud-bench-simulator-1 3.29% 34.77MiB / 7.38GiB 8.76MB / 11.1MB
flash-cloud-bench-api-1 70.76% 89.8MiB / 7.38GiB 800MB / 534MB
flash-cloud-bench-consumer-1 11.65% 35.7MiB / 7.38GiB 6.36MB / 9.39MB
flash-cloud-bench-maintenance-1 21.26% 35.74MiB / 7.38GiB 161MB / 562MB
flash-cloud-bench-redis-1 21.70% 52.25MiB / 7.38GiB 598MB / 774MB
flash-cloud-bench-pgbouncer-1 8.28% 1.613MiB / 7.38GiB 258MB / 258MB
flash-cloud-bench-postgres-1 59.52% 134.7MiB / 7.38GiB 82.3MB / 181MB
flash-cloud-bench-kafka-1 2.90% 914.8MiB / 7.38GiB 4.22MB / 3.6MB
flash-cloud-bench-prometheus-1 0.26% 29.88MiB / 7.38GiB 2.16MB / 268kB
Wed Sep  9 01:32:25 AM UTC 2026
flash-cloud-bench-publisher-1 3.58% 34.92MiB / 7.38GiB 6.31MB / 9.02MB
flash-cloud-bench-simulator-1 3.41% 34.77MiB / 7.38GiB 9.13MB / 11.5MB
flash-cloud-bench-api-1 72.83% 90.3MiB / 7.38GiB 873MB / 581MB
flash-cloud-bench-consumer-1 5.55% 35.7MiB / 7.38GiB 6.98MB / 10.3MB
flash-cloud-bench-maintenance-1 21.03% 35.74MiB / 7.38GiB 167MB / 583MB
flash-cloud-bench-redis-1 20.23% 52.29MiB / 7.38GiB 622MB / 839MB
flash-cloud-bench-pgbouncer-1 8.17% 1.582MiB / 7.38GiB 270MB / 269MB
flash-cloud-bench-postgres-1 65.40% 136.4MiB / 7.38GiB 86.6MB / 189MB
