procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  0      0 3550968 103816 2306196    0    0     0  2449 21756 39682 53 10 35  2  0  0 2026-09-09 10:25:01
 2  0      0 3499100 103816 2307560    0    0     0  8479 19739 35210 57  9 33  2  0  0 2026-09-09 10:25:06
 4  0      0 3551148 103816 2308824    0    0     0  2496 21707 39731 55  9 34  2  0  0 2026-09-09 10:25:11
 2  1      0 3550980 103816 2310092    0    0     0  3878 21495 41425 60 10 27  3  0  0 2026-09-09 10:25:16
 3  0      0 3526388 103816 2311464    0    0     0  2301 20149 38761 62 11 26  2  0  0 2026-09-09 10:25:21
 2  0      0 3542200 103816 2312704    0    0     0  2594 22054 37744 49  8 42  2  0  0 2026-09-09 10:25:26
 4  0      0 3545776 103816 2314108    0    0     0  2174 19879 36990 60 10 28  2  0  0 2026-09-09 10:25:31
 3  0      0 3545440 103816 2315460    0    0     0  3089 21138 42047 62 11 25  2  0  0 2026-09-09 10:25:36
 8  0      0 3528216 103816 2316820    0    0     0  2531 21803 39780 55 10 33  2  0  0 2026-09-09 10:25:41
 3  0      0 3500512 103816 2318148    0    0     0  2613 19962 36248 57  9 33  2  0  0 2026-09-09 10:25:46
 7  0      0 3531580 103816 2319428    0    0     0  2376 21998 38953 51  9 37  2  0  0 2026-09-09 10:25:51
 3  0      0 3544516 103816 2320712    0    0     0  2858 19075 39021 68 11 19  2  0  0 2026-09-09 10:25:56
 2  0      0 3523136 103816 2322100    0    0     0  2351 21781 40460 54  9 34  2  0  0 2026-09-09 10:26:01
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  0      0 3471016 103820 2323512    0    0     0  8635 19282 34879 58 10 31  1  0  0 2026-09-09 10:26:06
 5  0      0 3530880 103820 2324756    0    0     0  2346 21801 39585 53  9 35  2  0  0 2026-09-09 10:26:11
