procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 3060296 107784 3011912    0    0    20  1982 22476 39450 40  8 51  2  0  0 2026-09-09 19:45:33
 2  1      0 3043872 107784 3013572    0    0     0  9048 21272 39877 57 11 30  2  0  0 2026-09-09 19:45:38
 4  0      0 3044076 107784 3015208    0    0     0  3478 24184 46477 55 11 32  3  0  0 2026-09-09 19:45:43
 1  0      0 3055656 107784 3016836    0    0     0  1945 20736 37406 49  9 41  2  0  0 2026-09-09 19:45:48
 1  0      0 3043392 107784 3018380    0    0     0  1905 21940 38941 40  8 50  2  0  0 2026-09-09 19:45:53
 3  0      0 3034700 107784 3020032    0    0     0  2452 23589 43151 47 10 40  2  0  0 2026-09-09 19:45:58
 1  0      0 3039000 107784 3021540    0    0     0  3150 21181 42134 63 11 24  2  0  0 2026-09-09 19:46:03
 1  0      0 3039956 107784 3023100    0    0     0  2086 22784 40068 41  8 49  2  0  0 2026-09-09 19:46:08
 0  1      0 3039840 107784 3024672    0    0     0  1873 20918 37570 48  9 41  2  0  0 2026-09-09 19:46:13
 2  0      0 3035896 107784 3026140    0    0     0  3550 23082 42369 47 10 41  2  0  0 2026-09-09 19:46:18
 8  0      0 2968692 107784 3027672    0    0     0  2897 20994 41569 61 11 25  2  0  0 2026-09-09 19:46:23
 0  0      0 3031456 107784 3029268    0    0     0  2234 22938 40638 42  8 48  2  0  0 2026-09-09 19:46:28
 0  1      0 3037684 107784 3030780    0    0     0  1818 22822 39998 41  8 49  2  0  0 2026-09-09 19:46:33
 4  0      0 3035136 107784 3032276    0    0     0  9073 20953 39838 56 11 31  2  0  0 2026-09-09 19:46:38
 5  0      0 3019908 107784 3033828    0    0     0  3062 24368 46420 53 11 33  3  0  0 2026-09-09 19:46:43
 3  0      0 3016852 107784 3035524    0    0    15  1899 20947 38164 51 10 38  2  0  0 2026-09-09 19:46:48
 1  1      0 3018972 107784 3037064    0    0     0  1767 22842 40138 41  8 50  2  0  0 2026-09-09 19:46:53
 5  1      0 2979004 107784 3038628    0    0     0  3023 21397 40319 53 10 35  2  0  0 2026-09-09 19:46:58
 5  1      0 3015520 107784 3040200    0    0     0  3106 23089 44307 56 11 31  3  0  0 2026-09-09 19:47:03
 3  0      0 3028496 107784 3041672    0    0     0  1946 22659 40250 42  9 48  2  0  0 2026-09-09 19:47:08
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  0      0 2998628 107784 3043392    0    0     0  2058 20831 37746 49 10 40  1  0  0 2026-09-09 19:47:13
 3  0      0 3005556 107784 3045032    0    0     0  3318 23170 42140 45  9 43  2  0  0 2026-09-09 19:47:18
 2  0      0 2983188 107784 3046628    0    0     0  2832 21115 42375 61 12 24  2  0  0 2026-09-09 19:47:23
 2  0      0 2990920 107784 3048164    0    0     0  2034 22794 40184 41  8 49  2  0  0 2026-09-09 19:47:28
 5  0      0 2948032 107784 3049660    0    0     0  1808 21817 39154 43  9 46  2  0  0 2026-09-09 19:47:33
 2  1      0 2968232 107784 3051272    0    0     0  8146 21656 40155 52 10 35  2  0  0 2026-09-09 19:47:38
 2  0      0 2956408 107784 3052820    0    0     0  4178 23889 45571 53 11 32  3  0  0 2026-09-09 19:47:43
 2  0      0 2962864 107784 3054320    0    0     0  2099 21146 38613 49 10 39  2  0  0 2026-09-09 19:47:48
 2  0      0 2944876 107784 3056016    0    0     0  1830 22121 38917 42  8 49  2  0  0 2026-09-09 19:47:53
 4  1      0 2992176 107784 2990424    0    0     0  2505 20718 39720 54 11 34  2  0  0 2026-09-09 19:47:58
 5  0      0 2977288 107784 2992036    0    0     0  3620 24457 45994 53 11 33  3  0  0 2026-09-09 19:48:03
 4  0      0 2960728 107784 2995708    0    0     0  1898 21531 39369 47  9 43  2  0  0 2026-09-09 19:48:08
 5  0      0 2979840 107784 2997552    0    0     0  1689 21038 37642 47  9 42  2  0  0 2026-09-09 19:48:13
 2  0      0 2958524 107784 2999096    0    0     0  2175 22458 41534 47 10 41  2  0  0 2026-09-09 19:48:18
 6  0      0 2936644 107784 3000652    0    0     0  3488 21432 42876 62 12 23  2  0  0 2026-09-09 19:48:23
 4  0      0 2914948 107784 3002376    0    0     0  2498 22006 39034 45  9 44  2  0  0 2026-09-09 19:48:28
 3  0      0 2870356 107784 3003820    0    0     0  2972 21385 39050 50 10 39  2  0  0 2026-09-09 19:48:33
 2  0      0 2918408 107784 3005276    0    0     0  9677 22540 40589 46  9 42  2  0  0 2026-09-09 19:48:38
 5  1      0 2894856 107784 3006836    0    0     0  3908 23741 45780 55 12 31  3  0  0 2026-09-09 19:48:43
 4  0      0 2895508 107784 3008420    0    0     0  2710 21125 38613 50 10 38  2  0  0 2026-09-09 19:48:48
 5  0      0 2896672 107784 3010000    0    0     0  2466 22442 38927 40  8 51  2  0  0 2026-09-09 19:48:53
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 5  0      0 2848312 107784 3011560    0    0     0  3957 21157 40535 55 11 32  2  0  0 2026-09-09 19:48:58
 5  1      0 2876128 107784 3013056    0    0     0  3545 23862 45137 54 11 32  3  0  0 2026-09-09 19:49:03
 7  0      0 2784716 107784 3016696    0    0     0  2423 21035 38552 51  9 38  2  0  0 2026-09-09 19:49:08
 4  0      0 2852020 107784 3018404    0    0    15  2367 22710 40320 43  8 47  2  0  0 2026-09-09 19:49:13
 5  0      0 2846668 107784 3019988    0    0     0  3268 22839 40745 44  9 45  2  0  0 2026-09-09 19:49:18
 8  0      0 2832796 107784 3021432    0    0     0  3199 21969 44359 61 12 24  2  0  0 2026-09-09 19:49:23
 4  0      0 2828900 107784 3023104    0    0     0  2589 22503 39931 42  8 48  2  0  0 2026-09-09 19:49:28
 4  0      0 2791728 107784 3024724    0    0     0  2181 21374 38844 49 10 40  2  0  0 2026-09-09 19:49:33
 4  0      0 2799996 107784 3026212    0    0     0  8206 22224 39966 45  9 43  2  0  0 2026-09-09 19:49:38
 8  0      0 2736212 107784 3027816    0    0     0  3808 22084 43507 58 12 27  2  0  0 2026-09-09 19:49:43
 4  0      0 2773084 107784 3029344    0    0     0  2345 22044 40258 48  9 41  2  0  0 2026-09-09 19:49:48
 2  0      0 2793564 107784 3030940    0    0     0  1991 22410 39025 40  8 50  2  0  0 2026-09-09 19:49:53
 4  0      0 2791792 107784 3032432    0    0     0  3230 22023 41220 53 11 34  2  0  0 2026-09-09 19:49:58
 5  0      0 2797668 107784 3033980    0    0     0  3260 23587 44202 53 10 34  3  0  0 2026-09-09 19:50:03
 5  1      0 2767208 107784 3037880    0    0     0  5296 20995 39511 54 11 33  2  0  0 2026-09-09 19:50:08
 5  0      0 2783456 107784 3040140    0    0     0  3552 22448 39236 40  8 50  2  0  0 2026-09-09 19:50:13
 8  0      0 2754236 107784 3042352    0    0     0  4282 21642 39922 46 10 42  2  0  0 2026-09-09 19:50:18
 3  1      0 2784400 107784 3044508    0    0     0  2879 21828 43660 61 11 25  2  0  0 2026-09-09 19:50:23
 5  0      0 2785932 107784 3046620    0    0     0  2831 23412 41699 43  9 46  2  0  0 2026-09-09 19:50:28
 4  0      0 2749584 107784 3048904    0    0     0  2190 20472 37901 51 10 37  2  0  0 2026-09-09 19:50:33
 7  0      0 2784428 107784 3051168    0    0     0  2302 22694 40889 45  9 44  2  0  0 2026-09-09 19:50:38
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 7  1      0 2777500 107784 3053444    0    0     0  9189 21004 41391 61 12 25  2  0  0 2026-09-09 19:50:43
 8  0      0 2763716 107784 3055708    0    0     0  2444 22763 41496 45  9 44  2  0  0 2026-09-09 19:50:48
 3  0      0 2767484 107784 3057956    0    0     0  1977 22565 39375 40  8 49  2  0  0 2026-09-09 19:50:53
 3  0      0 2747660 107784 3060228    0    0     0  2258 21937 40541 53 10 36  2  0  0 2026-09-09 19:50:58
 4  0      0 2772080 107784 3062468    0    0     0  4000 23953 44653 52 10 34  3  0  0 2026-09-09 19:51:03
 3  0      0 2751376 107784 3064504    0    0     0  2242 21435 40394 53 10 35  2  0  0 2026-09-09 19:51:08
 3  0      0 2765484 107784 3065808    0    0     0  1883 22969 40025 40  8 50  2  0  0 2026-09-09 19:51:13
 3  0      0 2694948 107784 3067136    0    0     0  2234 20948 38526 51 10 37  2  0  0 2026-09-09 19:51:18
10  0      0 2753408 107784 3068504    0    0     0  4051 23816 45726 54 11 33  3  0  0 2026-09-09 19:51:23
 2  0      0 2767792 107784 3069820    0    0     0  2299 23061 40901 44  9 46  2  0  0 2026-09-09 19:51:28
 2  1      0 2746528 107784 3071156    0    0     0  2150 21058 38237 49 10 40  2  0  0 2026-09-09 19:51:33
 3  0      0 2753528 107784 3072432    0    0     0  2202 22931 40974 44  9 45  2  0  0 2026-09-09 19:51:38
 6  0      0 2730940 107784 3073800    0    0     0  9464 20521 41341 64 12 22  2  0  0 2026-09-09 19:51:43
 5  0      0 2736544 107788 3075128    0    0     0  2405 23327 42736 46  9 43  2  0  0 2026-09-09 19:51:48
 8  0      0 2688052 107788 3076500    0    0     0  2310 21117 37671 47  9 42  2  0  0 2026-09-09 19:51:53
 5  1      0 2728928 107788 3077780    0    0     0  2384 23205 41532 43  9 46  2  0  0 2026-09-09 19:51:58
 4  1      0 2759472 107788 3079092    0    0     0  2970 23909 45007 52 11 34  3  0  0 2026-09-09 19:52:03
 2  1      0 2749724 107788 3080372    0    0     0  2330 19612 37660 56 11 31  2  0  0 2026-09-09 19:52:08
 4  0      0 2751888 107788 3081728    0    0     0  2708 22733 40004 39  8 51  2  0  0 2026-09-09 19:52:13
 5  0      0 2727436 107788 3083080    0    0     0  2171 21311 39479 51 10 37  2  0  0 2026-09-09 19:52:18
13  0      0 2731344 107788 3100816    0    0     0  6435 23905 45427 53 11 33  3  0  0 2026-09-09 19:52:23
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
10  0      0 2678752 107788 3102372    0    0     0  2321 21585 39773 51 10 37  2  0  0 2026-09-09 19:52:28
 2  0      0 2711444 107788 3103708    0    0     0  2095 22134 39489 43  8 47  2  0  0 2026-09-09 19:52:33
 7  0      0 2715244 107788 3105104    0    0     0  3094 23192 41031 43  8 46  2  0  0 2026-09-09 19:52:38
 4  0      0 2707432 107788 3106580    0    0     0  8670 20970 42149 63 12 23  2  0  0 2026-09-09 19:52:43
 8  0      0 2715508 107788 3107880    0    0     0  2350 23042 42168 45  9 43  2  0  0 2026-09-09 19:52:48
 3  0      0 2713228 107788 3109308    0    0     0  1983 20892 37414 48  9 41  2  0  0 2026-09-09 19:52:53
 8  0      0 2684920 107788 3110528    0    0     0  2304 22177 40903 45  9 44  2  0  0 2026-09-09 19:52:58
14  0      0 2654296 107788 3111948    0    0     0  3683 23091 44036 55 11 31  3  0  0 2026-09-09 19:53:03
 3  1      0 2701044 107788 3113224    0    0     0  2132 21730 40363 52 10 36  2  0  0 2026-09-09 19:53:08
 5  0      0 2691040 107788 3114608    0    0     0  1690 22779 40337 40  8 50  2  0  0 2026-09-09 19:53:13
 2  0      0 2704948 107788 3116012    0    0     0  1905 21572 39125 50  9 38  2  0  0 2026-09-09 19:53:18
 8  1      0 2696804 107788 3117384    0    0     0  3593 23423 44638 52 11 35  3  0  0 2026-09-09 19:53:23
 3  1      0 2683024 107788 3118856    0    0     0  2675 21500 40473 54 11 33  2  0  0 2026-09-09 19:53:28
 8  1      0 2717216 107788 3120184    0    0     0  3323 22688 39244 40  8 51  2  0  0 2026-09-09 19:53:33
10  0      0 2674128 107788 3121540    0    0     0  3270 22734 41188 44  9 45  2  0  0 2026-09-09 19:53:38
 6  0      0 2698816 107788 3122972    0    0     0 10579 21414 42442 61 11 25  2  0  0 2026-09-09 19:53:43
 3  1      0 2681976 107788 3124292    0    0     0  3315 23475 42985 46  9 42  2  0  0 2026-09-09 19:53:48
 2  0      0 2707544 107788 3125608    0    0     0  2727 20945 37798 48 10 41  2  0  0 2026-09-09 19:53:53
 4  0      0 2694720 107788 3127004    0    0     0  2716 22968 40882 42  9 47  2  0  0 2026-09-09 19:53:58
10  0      0 2614580 107788 3128348    0    0     0  3262 20923 41632 62 12 24  2  0  0 2026-09-09 19:54:03
 9  0      0 2687060 107788 3129652    0    0     0  4373 23452 42902 47 10 41  3  0  0 2026-09-09 19:54:08
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  1      0 2681436 107788 3130984    0    0     0  2458 22793 40239 40  8 50  2  0  0 2026-09-09 19:54:13
 4  1      0 2682632 107788 3132352    0    0     0  2426 21346 38778 51 10 37  2  0  0 2026-09-09 19:54:18
 1  0      0 2667704 107788 3133680    0    0     0  3474 23468 44524 51 11 35  3  0  0 2026-09-09 19:54:23
 1  0      0 2673316 107788 3135056    0    0     0  3694 21742 40930 56 11 31  2  0  0 2026-09-09 19:54:28
 0  1      0 2678204 107788 3136380    0    0     0  2262 22758 39261 39  8 51  2  0  0 2026-09-09 19:54:33
15  0      0 2625180 107788 3137788    0    0     0  2236 21635 39620 47 10 42  2  0  0 2026-09-09 19:54:38
 2  1      0 2681640 107788 3139092    0    0     0  8916 22874 43540 55 11 32  3  0  0 2026-09-09 19:54:43
 1  1      0 2682852 107788 3140476    0    0     0  3624 23276 42951 47 10 40  2  0  0 2026-09-09 19:54:48
 3  0      0 2666512 107788 3141808    0    0     0  2090 21068 37812 48  9 41  2  0  0 2026-09-09 19:54:53
 5  0      0 2675304 107788 3143168    0    0     0  2430 22587 40335 43  8 47  2  0  0 2026-09-09 19:54:58
 3  0      0 2663380 107788 3144468    0    0     0  2918 21373 41976 60 12 26  2  0  0 2026-09-09 19:55:03
 4  0      0 2636224 107788 3145836    0    0     0  3746 21779 41148 53 10 34  2  0  0 2026-09-09 19:55:08
 3  1      0 2617700 107788 3147264    0    0     0  2477 21600 39167 46  9 43  2  0  0 2026-09-09 19:55:13
 5  0      0 2670752 107788 3148664    0    0     0  2514 21758 38982 46  9 44  2  0  0 2026-09-09 19:55:18
14  0      0 2658116 107788 3149908    0    0     0  2996 23829 45250 53 11 34  3  0  0 2026-09-09 19:55:23
10  0      0 2651720 107788 3151328    0    0     0  2654 21263 40888 56 11 31  2  0  0 2026-09-09 19:55:28
 1  0      0 2659976 107788 3152652    0    0     0  3204 22307 38689 40  8 51  2  0  0 2026-09-09 19:55:33
 2  1      0 2645312 107788 3154136    0    0     0  2086 21396 39603 50 10 38  2  0  0 2026-09-09 19:55:38
 8  1      0 2650232 107788 3155484    0    0     0  3094 23672 43906 51 10 36  3  0  0 2026-09-09 19:55:43
 9  0      0 2613448 107788 3156916    0    0     0  9150 22659 42613 51 10 36  2  0  0 2026-09-09 19:55:48
 6  0      0 2637368 107788 3158236    0    0     0  1970 21281 37752 46  8 44  2  0  0 2026-09-09 19:55:53
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
